id,year,ridership,operational_route_km,rolling_stock_num_cars,year_label,start_year,ridership_outlier,operational_route_km_outlier,rolling_stock_num_cars_outlier,ridership_yoy_growth_pct
1,2013-14*,2204908,188.05,1282,2013-14,2013,0,0,0,
2,2014-15*,2402850,191.12,1306,2014-15,2014,0,0,0,8.977
3,2015-16*,2615050,209.97,1392,2015-16,2015,0,0,0,8.831
4,2016-17*,2800792,209.97,1468,2016-17,2016,0,0,0,7.103
5,2017-18*,2587271,249.46,1888,2017-18,2017,0,0,0,-7.624
6,2018-19*,2593090,342.07,2188,2018-19,2018,0,0,0,0.225
7,2019-20**,2780000,359.23,2242,2019-20,2019,0,0,0,7.208
8,2020-21** (07.09.2020-31.03.2021),878000,359.23,2280,2020-21 (07.09.2020-31.03.2021),2020,1,0,0,-68.417
9,2021-22,2516068,360.975,2282,2021-22,2021,0,0,0,186.568
